公司名稱,代碼,現價,開盤,最高,最低
國泰永續高股息,00878,20.5500,20.6000,20.6000,20.5000
群益台灣精選高息,00919,22.4500,22.6300,22.6300,22.4500
元大台灣價值高息,00940,9.1000,9.1300,9.1600,9.1000
